e
{"_SRC":"0:0","_DST":"0:3","_SRC_LABEL":"node_a","_DST_LABEL":"node_a","_LABEL":"rel_a","double_weight":3.141593,"i32_weight":42,"i64_weight":-1234567890123456789,"datetime_weight":1684281600000}
{"_SRC":"0:0","_DST":"0:7","_SRC_LABEL":"node_a","_DST_LABEL":"node_a","_LABEL":"rel_a","double_weight":2.236068,"i32_weight":777,"i64_weight":1234567890123456789,"datetime_weight":1681257600000}
{"_SRC":"0:1","_DST":"0:7","_SRC_LABEL":"node_a","_DST_LABEL":"node_a","_LABEL":"rel_a","double_weight":-2.718282,"i32_weight":999,"i64_weight":987654321098765432,"datetime_weight":1698969600000}
{"_SRC":"0:1","_DST":"0:4","_SRC_LABEL":"node_a","_DST_LABEL":"node_a","_LABEL":"rel_a","double_weight":-0.693147,"i32_weight":-888,"i64_weight":-87654321098765210,"datetime_weight":1696032000000}
{"_SRC":"0:2","_DST":"0:5","_SRC_LABEL":"node_a","_DST_LABEL":"node_a","_LABEL":"rel_a","double_weight":1.414214,"i32_weight":-500,"i64_weight":0,"datetime_weight":1705881600000}
{"_SRC":"0:2","_DST":"0:9","_SRC_LABEL":"node_a","_DST_LABEL":"node_a","_LABEL":"rel_a","double_weight":1.732051,"i32_weight":0,"i64_weight":44444444444444444,"datetime_weight":1707868800000}
{"_SRC":"0:3","_DST":"0:8","_SRC_LABEL":"node_a","_DST_LABEL":"node_a","_LABEL":"rel_a","double_weight":3.141593,"i32_weight":1337,"i64_weight":0,"datetime_weight":1689724800000}
{"_SRC":"0:4","_DST":"0:8","_SRC_LABEL":"node_a","_DST_LABEL":"node_a","_LABEL":"rel_a","double_weight":0.577216,"i32_weight":1024,"i64_weight":5555555555555555555,"datetime_weight":1691971200000}
{"_SRC":"0:5","_DST":"0:6","_SRC_LABEL":"node_a","_DST_LABEL":"node_a","_LABEL":"rel_a","double_weight":-1.414214,"i32_weight":-2048,"i64_weight":77777777777777777,"datetime_weight":1696464000000}
{"_SRC":"0:6","_DST":"0:9","_SRC_LABEL":"node_a","_DST_LABEL":"node_a","_LABEL":"rel_a","double_weight":-1.618034,"i32_weight":-1000,"i64_weight":-99999999999999999,"datetime_weight":1703980800000}
